Ticker,FilingDate,PayRatio,MktCap,BookToMarket,begdate,enddate,date,AbnormalReturn,lnPayRatio,lnMktCap
FDX,2018-08-13 00:00:00,333,40210.0,0.44,2018-08-12 00:00:00,2018-08-18 00:00:00,2018-08-13 00:00:00,0.016,5.808142489980444,10.60187099989132
GD,2018-03-22 00:00:00,218,60403.0,0.19,2018-03-21 00:00:00,2018-03-27 00:00:00,2018-03-21 00:00:00,0.017,5.384495062789089,11.008794051563621
GE,2018-03-12 00:00:00,157,151476.0,0.42,2018-03-11 00:00:00,2018-03-17 00:00:00,2018-03-12 00:00:00,-0.031,5.056245805348308,11.928182475540861
GM,2018-04-27 00:00:00,295,57386.0,0.61,2018-04-26 00:00:00,2018-05-02 00:00:00,2018-04-26 00:00:00,-0.05,5.68697535633982,10.957555650119597
GS,2018-03-23 00:00:00,163,99076.0,0.71,2018-03-22 00:00:00,2018-03-28 00:00:00,2018-03-22 00:00:00,-0.006999999999999996,5.093750200806762,11.50364251137131
HD,2018-04-02 00:00:00,552,232642.0,0.01,2018-04-01 00:00:00,2018-04-07 00:00:00,2018-04-02 00:00:00,-0.008,6.313548046277095,12.357256070264203
HON,2018-04-23 00:00:00,333,115158.0,0.15,2018-04-22 00:00:00,2018-04-28 00:00:00,2018-04-23 00:00:00,-0.023,5.808142489980444,11.654060377433932
IBM,2018-03-12 00:00:00,341,141481.0,0.12,2018-03-11 00:00:00,2018-03-17 00:00:00,2018-03-12 00:00:00,0.016,5.831882477283517,11.859920711431277
INTC,2018-04-05 00:00:00,211,216352.0,0.32,2018-04-04 00:00:00,2018-04-10 00:00:00,2018-04-04 00:00:00,0.016,5.351858133476067,12.284661989890404
JNJ,2018-03-14 00:00:00,452,374802.0,0.16,2018-03-13 00:00:00,2018-03-19 00:00:00,2018-03-13 00:00:00,0.007000000000000001,6.113682179832232,12.834153165511463
JPM,2018-04-05 00:00:00,364,366302.0,0.63,2018-04-04 00:00:00,2018-04-10 00:00:00,2018-04-04 00:00:00,0.012999999999999998,5.8971538676367405,12.81121340875746
