gvkey,datadate,FiscalYear,indfmt,consol,popsrc,datafmt,Ticker,conm,curcd,fyr,Book Value Per Share,costat,MktCap,Price Close - Annual - Fiscal,BookToMarket
6066,20171231,2017,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,12,19.0787,A,141481,153.42,0.12
6066,20181231,2018,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,12,18.8195,A,101448,113.67,0.17
6066,20191231,2019,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,12,23.4931,A,118908,134.04,0.18
6066,20201231,2020,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,12,23.0739,A,112367,125.88,0.18
6066,20211231,2021,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,12,21.0463,A,120036,133.66,0.16
6266,20171231,2017,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,22.4266,A,374802,139.72,0.16
6266,20181231,2018,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,22.4435,A,343573,129.05,0.17
6266,20191231,2019,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,22.591,A,384004,145.87,0.15
6266,20201231,2020,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,24.0371,A,414305,157.38,0.15
6266,20211231,2021,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,12,28.1567,A,449737,171.07,0.16
6310,20171231,2017,INDL,C,D,STD,KMI,KINDER MORGAN INC,USD,12,15.1711,A,40063,18.07,0.84
6310,20181231,2018,INDL,C,D,STD,KMI,KINDER MORGAN INC,USD,12,14.8875,A,34792,15.38,0.97
6310,20191231,2019,INDL,C,D,STD,KMI,KINDER MORGAN INC,USD,12,14.8976,A,47949,21.17,0.7
6310,20201231,2020,INDL,C,D,STD,KMI,KINDER MORGAN INC,USD,12,13.8836,A,30952,13.67,1.02
6310,20211231,2021,INDL,C,D,STD,KMI,KINDER MORGAN INC,USD,12,13.594,A,35961,15.86,0.86
